operator,binding_energy,repressor,inducer_uM,m0p0,m1p0,m2p0,m3p0,m4p0,m5p0,m6p0,m0p1,m1p1,m0p2,m2p1,m1p2,m0p3,m3p1,m2p2,m1p3,m0p4,m4p1,m3p2,m2p3,m1p4,m0p5,m5p1,m4p2,m3p3,m2p4,m1p5,m0p6
O1,-15.3,1.0,1000,1.0000016526687427,15.432632064020776,321.8521358405842,8568.992123916898,277687.3976825181,10516900.990576254,451202614.21856517,7716.350210876922,126695.35006708566,62146270.19226064,2802704.272431956,1086919872.1710808,522720911754.7336,78295552.2039995,25386724263.167843,9718443595170.213,4586690416868515.0,2626667764.542639,738691710392.6034,238103126149552.22,9.021551607940882e+16,4.187621209989022e+19,101804001171.52621,25478820729004.035,7163858589440105.0,2.3016353609240458e+18,8.656212423705461e+20,3.963442895615559e+23
O1,-15.3,1.0,5000,0.9999997899644621,15.438589771045109,322.00350523911175,8573.393938566569,277837.6037540115,10522789.426740453,451461615.1276336,7719.330056268422,126790.54944657923,62192989.90587625,2805033.6546858423,1088111207.7946048,523294504875.5736,78363776.108457,25416470791.550484,9732264741292.908,4593225244742964.0,2629021814.2781262,739585015535.2501,238458910626985.38,9.037172221654323e+16,4.1948892091656544e+19,101896978732.5332,25510214835466.324,7174815962198474.0,2.3057792321504904e+18,8.673746313476507e+20,3.971493590553997e+23
O1,-15.3,2.0,0,0.999998791842469,4.473882493180233,63.273126314249936,1348.3332322636059,37730.82735424587,1286209.3620441956,50951840.76553925,2236.95131048799,11199.276462272688,5490513.915863831,170329.7670911891,30725204.29741297,14738230716.275581,3852447.137763119,499722692.07814634,91812784334.37724,43083230338378.15,112679269.30007645,11893265235.982042,1584888353284.7424,296729813050026.5,1.364343204473234e+17,3963217451.5558305,360659084025.1054,39356905726144.58,5391549028199051.0,1.0296922937119698e+18,4.6524921903729705e+20
O1,-15.3,2.0,0.1,0.9999997863481083,4.488223882968445,63.558080280601054,1355.5129560925982,37953.13303098628,1294325.4124432593,51289791.213573486,2244.1222023591176,11270.036119731716,5525204.394922026,171623.30090643995,31012266.806264944,14875969330.07949,3884767.6443567257,505018607.9013481,92940740260.05457,43612852553759.32,113685634.21907559,12028482627.591543,1606315673261.4524,301225475179592.8,1.3850323534957701e+17,4000176410.8710966,364946644810.93665,39918516662818.945,5479785029955475.0,1.0481682824843114e+18,4.736062362480465e+20
O1,-15.3,2.0,5,1.0000000406585843,7.133587649055908,120.07788624119215,2843.4250852206833,85443.13614671156,3067632.9718925,126434128.11906442,3566.808875652533,28035.65757421218,13745718.385054652,505205.0760581131,118981337.77117328,57107516633.267006,12641821.534795199,2282945181.113013,542402099101.4792,254900480239654.6,395500245.55045015,59873170508.15564,11000900127146.674,2639655979902795.5,1.2167808373332936e+18,14599436191.015543,1935247148282.4312,299951956387231.2,5.613722124529482e+16,1.3624641119926376e+19,6.178252899406552e+21
O1,-15.3,2.0,10,1.0000005438738147,10.20284611559848,191.94004033892455,4838.375265268987,151440.2502267391,5597350.14348591,235806211.99512285,5101.443906901575,56548.946496997625,27730162.339485593,1134088.9154281898,333947173.3911969,160409048300.60638,30105954.05965158,7103335952.140447,2092113587488.5378,984876588521949.9,978289434.2267156,197031065972.91974,46870088615463.1,1.3829833229580432e+16,6.393184381444406e+18,37088139918.77321,6598473615943.354,1347964039242145.2,3.238119810326991e+17,9.591179206696133e+19,4.366621903469656e+22
O1,-15.3,2.0,25,1.0000006614187193,13.718970017756929,278.6002152557585,7315.748085370898,235022.8836329177,8847184.011556346,377855373.3466873,6859.5149449775745,100785.65813783024,49432603.27914942,2174050.1673947633,778434577.5757804,374227501213.72406,59959859.30390141,17751341711.432964,6300605867801.77,2971336468937049.5,1995626886.2797365,510368642325.4291,150881212674621.84,5.320852953534278e+16,2.466795394191261e+19,76924186093.93114,17475276503994.89,4488754402810759.5,1.3281595400486408e+18,4.6655540082977086e+20,2.1326137153530517e+23
O1,-15.3,2.0,50,1.0000000004269205,14.803872124276214,305.9227383732183,8106.444068101236,261918.32212250688,9899125.979354804,424043616.9766648,7401.971031204104,116863.15222425651,57321537.27454129,2562880.8199661924,966159214.7184682,464584139711.56244,71282348.66839956,22381175425.708485,8341414917035.884,3935715334450065.5,2384909036.63969,648574277002.5054,202769303230068.97,7.490172136196029e+16,3.475263506386716e+19,92261557303.92293,22314743157582.3,6077324927511984.0,1.896665093473089e+18,6.963229993747188e+20,3.186352085252637e+23
O1,-15.3,2.0,75,1.0000001354800712,15.075719382846513,312.80196089993564,8306.067725603569,268720.8616492187,10165539.999691164,435753021.5449893,7537.894718854065,121068.09259822825,59384907.607646845,2665272.1701709884,1017270859.4320422,489189342046.9119,74274069.04260224,23650921644.078957,8918478978830.57,4208492600568933.0,2487985424.140469,686611830172.2673,217548597420909.53,8.125847887755563e+16,3.770923069016814e+19,96328604667.43594,23649539450546.254,6531385517488212.0,2.064452305867149e+18,7.659611716067488e+20,3.5059366223932265e+23
O1,-15.3,2.0,100,1.0000011107372269,15.1880576038206,315.64825119483237,8388.720755187329,271538.74566134915,10275937.228605345,440606465.37335074,7594.061542270592,122826.13931991252,60247584.3439515,2708159.1981497533,1038877956.362233,499591431605.09314,75528300.6124748,24188752714.691284,9164999170946.176,4325032466435190.0,2531222876.690332,702738902637.8351,223874816435734.5,8.400120869881573e+16,3.898508194729803e+19,98035272555.61992,24215790034377.73,6725929441833171.0,2.1369893339192576e+18,7.962931723849508e+20,3.645163330702467e+23
O1,-15.3,2.0,250,0.9999995220361024,15.345161391475092,319.63239062115156,8504.474571187488,275486.4647037568,10430636.1121948,447408827.9471162,7672.61704771417,125305.30089190167,61464159.91857344,2768714.0984695,1069584835.3280045,514374996862.00244,77300339.76483591,24954126481.211933,9517912763428.729,4491880381974383.5,2592334550.9789176,725704009773.8666,232943739107188.38,8.7954985103157e+16,4.082447219240439e+19,100448118560.81364,25022456917629.76,7005000169438591.0,2.2416972305411538e+18,8.403077693425253e+20,3.8472221711175874e+23
O1,-15.3,2.0,500,0.9999996988772493,15.383719523056348,320.610784070568,8532.90997728253,276456.45647801855,10468653.316311859,449080716.64253706,7691.89569797262,125917.2579137421,61764457.06524285,2783674.8405116233,1077206330.8076122,518044360256.95526,77738335.59512286,25144276948.969193,9605964951625.936,4533510802634168.0,2607443710.4706373,731412163417.7389,235208655489215.44,8.894635677234795e+16,4.128571358380684e+19,101044780472.0806,25223016986297.293,7074729264609341.0,2.267977187637355e+18,8.513961526057708e+20,3.898130710921026e+23
O1,-15.3,2.0,1000,1.000000241886299,15.400291857372594,321.03132937179265,8545.133043086653,276873.4260628661,10484996.212365886,449799448.2898188,7700.18448267111,126180.7002307,61893734.34098387,2790116.6333483146,1080492057.6288319,519626263102.8607,77926946.91468818,25226274012.706707,9643978689944.436,4551483432341216.0,2613950482.4929185,733873946552.7733,236186721181089.6,8.937492931099698e+16,4.14851115630714e+19,101301744826.91994,25309519923267.543,7104844428348483.0,2.2793411174964442e+18,8.561959179169008e+20,3.92016764887188e+23
O1,-15.3,2.0,5000,0.999999205535823,15.412203826852616,321.3337522528125,8553.92481315244,277173.38182818156,10496753.818976758,450316557.36983615,7706.137191706531,126370.30726434867,61986771.12502484,2794754.2951463526,1082859665.0354571,520766140058.9252,78062753.29951058,25285371233.30922,9671397196719.908,4564446921772393.0,2618635965.706058,735648389305.4209,236892304899153.5,8.968431557302256e+16,4.162905987452363e+19,101486793487.74503,25371874610810.99,7126571560845547.0,2.2875460658661558e+18,8.596635704524586e+20,3.9360888912298105e+23
O1,-15.3,3.0,0,0.9999999177848073,3.30089665720406,41.0838846030635,805.5034414190663,21261.43493154289,693910.875600539,26574212.104916226,1650.456369400774,6156.170512405886,3018187.496283922,82566.71416331257,12699239.642950568,6090439846.797581,1722461.1430653147,182502535.4825264,28776666733.375237,13495683192865.168,47638010.91621835,4015378300.6709967,439769716827.6479,71087296768694.62,3.265098417475693e+16,1607972443.461116,115392641216.77887,10116490094352.344,1145592983859168.2,1.8995509288562838e+17,8.569867598836218e+19
O1,-15.3,3.0,0.1,1.0000000564544511,3.3126081102307094,41.293058053526956,810.4404316047028,21407.479288330393,699064.0330606172,26783156.92627901,1656.311989748472,6199.211821808375,3039287.177676216,83270.25644345542,12830518.87588788,6153407972.149907,1738885.6799330234,184665740.29287776,29167854499.83499,13679214042862.656,48126311.55528316,4066962538.011945,446408380341.0534,72279238753067.7,3.319878655534521e+16,1625309589.6451845,116954939218.7953,10279067538864.094,1166506885823058.2,1.9372823992494125e+17,8.740220280874482e+19
O1,-15.3,3.0,5,0.9999990284851816,5.61980458345444,86.87063998451667,1955.8811484919477,56825.81775960218,1991126.6802298026,80558883.62153853,2809.91691526489,17541.907116595758,8600193.400769386,291013.46677729033,59592014.25083934,28591988422.717823,6939716.630365434,1055143112.211124,219055864273.94922,102856364087741.45,210336991.30883944,26426305802.04944,4108974947280.435,865558126424851.4,3.9840961028253536e+17,7590922801.640303,828989927890.3657,107190583895768.1,1.705967946133116e+16,3.650951477087732e+18,1.652165279977377e+21
O1,-15.3,3.0,10,1.00000156292276,8.719401682422516,156.61319237969965,3848.1710690327654,118470.73714865996,4327699.1694163475,180717238.3351205,4359.722935449882,41571.09136412123,20383711.39564505,797502.3898000971,212487376.1421842,102028518023.53326,20667004.69933701,4331061253.657885,1158842468704.555,545085973966038.75,661350673.8536999,117430222040.52332,24917576125339.35,6704411384013961.0,3.0951122297964017e+18,24805117213.15291,3876884871298.8887,701303653064409.0,1.5088244449375725e+17,4.089609106054773e+19,1.858394271022568e+22
O1,-15.3,3.0,25,0.999998780177212,12.985853328091574,260.2697837917436,6787.447575869107,217101.92648416123,8147645.304894501,347186942.7844939,6492.957845032388,90563.71452407069,44417221.82812026,1929333.488619735,665799840.2572207,320026172730.21454,52870115.8646807,15003580937.600039,5141903799562.765,2424052013691429.5,1752644193.8182807,428782634203.2921,121744978144070.83,4.152450645714109e+16,1.924032864072112e+19,67371915037.69507,14627707214068.451,3601504878154974.0,1.0253077880531302e+18,3.4888971451161326e+20,1.5935307187646342e+23
O1,-15.3,3.0,50,1.0000016355517023,14.494059371693321,298.0981404374018,7879.640713906585,254195.35162582612,9596828.077710336,410762552.79345125,7247.0631774870435,112156.7075783981,55012109.53607363,2448603.7370806313,909921351.0934536,437512934490.8109,67948080.8332176,20988355536.72602,7716682661885.91,3640445689135104.5,2270131619.764884,606911994990.3834,186818722930407.1,6.812503075354718e+16,3.16014072923502e+19,87735583823.30904,20854070050340.895,5588008818827790.0,1.7183427470179446e+18,6.231649855610361e+20,2.8507136362062656e+23
O1,-15.3,3.0,75,1.0000009575282742,14.888320401239787,308.05834699070766,8168.393247397643,264028.8411177781,9981767.643866586,427675389.02217287,7444.194321605831,118161.74704011937,57958754.49885301,2594473.030656197,981856995.8641597,472140903016.8039,72205005.70771722,22770765953.066536,8517721932801.486,4019051676456276.0,2416689202.0427003,660239592272.6752,207280233579821.0,7.683420967744168e+16,3.565139256665758e+19,93515251367.52007,22723978523164.305,6215846785016991.0,1.9476227685961014e+18,7.173929021500298e+20,3.2830370580167304e+23
O1,-15.3,3.0,100,0.9999994991942053,15.053212212103332,312.2319799138824,8289.52055552069,268156.8194683269,10143445.126084907,434781748.5127472,7526.642836820622,120717.3762328961,59212814.75062116,2656722.0472651813,1012977299.3006407,487122384607.12787,74024100.21547695,23544122377.431408,8869673610284.057,4185421195641040.0,2479369881.0118656,683410480968.612,216297021989273.78,8.071738216956702e+16,3.745753885487936e+19,95988578460.14218,23537157003081.81,6492909894894392.0,2.050151784286873e+18,7.599970916916831e+20,3.478562848827286e+23
O1,-15.3,3.0,250,0.9999999397101986,15.2859164660939,318.1294908985545,8460.80229358469,273996.8741205506,10372258.78464928,444841717.39051783,7642.994394043997,124367.67913799356,61004052.8121009,2745801.831320074,1057939321.9568777,508768326158.0958,76629699.85595518,24663719244.510494,9383720419311.213,4428436627317456.5,2569203226.035686,716988263113.3452,229493666911098.7,8.644786171206102e+16,4.0123298947172426e+19,99534746823.6384,24716266058009.105,6898808908764927.0,2.2017646857531965e+18,8.23490447334324e+20,3.770014858297222e+23
