operator,binding_energy,repressor,channcap,pc
O2,-13.9,3.0,0.6583300277685921,"[5.24045220e-001 6.22838347e-005 8.49844058e-231 1.89882705e-214
 7.88572664e-092 2.31429328e-035 2.87428203e-020 6.30550436e-014
 5.36607268e-005 9.22578736e-003 8.06383083e-002 3.85974740e-001]"
O2,-13.9,4.0,0.7772092982185963,"[5.18437689e-01 2.81465662e-04 8.68354081e-52 1.51372961e-81
 6.86402189e-76 2.73845501e-33 1.40911125e-19 1.37599407e-13
 6.14023151e-05 9.32853368e-03 8.41543333e-02 3.87736576e-01]"
O2,-13.9,5.0,0.8577109767844361,"[4.65911294e-01 1.65076241e-04 7.92734449e-02 3.56120260e-22
 1.19961267e-73 1.82280656e-35 3.40602907e-21 8.32103341e-15
 2.28125115e-05 6.18201085e-03 6.58043430e-02 3.82641018e-01]"
O2,-13.9,6.0,0.9259624027423519,"[4.31319791e-01 1.41674588e-04 1.12811568e-01 3.72031962e-02
 5.40320331e-78 1.88320861e-39 8.74701426e-24 1.27590126e-16
 5.88093386e-06 3.18126110e-03 5.07588334e-02 3.64577794e-01]"
O2,-13.9,8.0,1.0384826438369876,"[3.98165306e-01 4.24374725e-04 1.14040253e-01 1.21193867e-01
 4.82102656e-87 2.19907846e-46 3.20527715e-28 9.43329751e-20
 5.52862231e-07 1.07151480e-03 3.03505042e-02 3.34753627e-01]"
O2,-13.9,9.0,1.0852952227608017,"[3.86095047e-01 6.71643904e-04 1.13112023e-01 1.46943916e-01
 3.93096092e-87 5.14668610e-48 1.98194988e-29 1.17369860e-20
 2.69018901e-07 7.93695669e-04 2.53399317e-02 3.27043474e-01]"
O2,-13.9,10.0,1.1269548435305217,"[3.75768927e-01 9.26014459e-04 1.12024868e-01 1.66568625e-01
 1.14115071e-85 7.15378138e-49 2.15083611e-30 2.13950304e-21
 1.41854065e-07 5.94465280e-04 2.25164665e-02 3.21600492e-01]"
O2,-13.9,12.0,1.1970711333055835,"[3.58890289e-01 1.52297715e-03 1.09429658e-01 1.94541510e-01
 7.06124282e-77 6.49473503e-49 3.55500803e-31 3.79254638e-22
 6.78000810e-08 4.15407186e-04 1.91707524e-02 3.16029339e-01]"
O2,-13.9,14.0,1.253453248509121,"[3.45760478e-01 1.90098108e-03 1.07426134e-01 2.12873531e-01
 7.53010147e-61 8.49194205e-47 5.92882679e-31 2.70561084e-22
 4.36202785e-08 3.38682707e-04 1.76606748e-02 3.14039476e-01]"
O2,-13.9,16.0,1.2985753915822105,"[3.35359817e-01 2.22813861e-03 1.05647631e-01 2.25611657e-01
 8.38368279e-39 1.64804541e-42 1.58383846e-29 8.16776294e-22
 4.25413934e-08 3.18687208e-04 1.69310149e-02 3.13903012e-01]"
O2,-13.9,19.0,1.3501130348637806,"[3.22993071e-01 2.83050341e-03 1.04486793e-01 2.35042576e-01
 9.71678288e-03 3.35703711e-35 2.15670109e-27 5.06467480e-21
 3.82077949e-08 2.78332764e-04 1.57590093e-02 3.08892893e-01]"
O2,-13.9,22.0,1.3912278185235152,"[3.09061282e-01 6.21070971e-03 1.07493639e-01 2.27491155e-01
 5.66885222e-02 9.80337480e-38 1.23339752e-29 7.99407879e-23
 7.52662870e-09 1.29175224e-04 1.06977188e-02 2.82227791e-01]"
O2,-13.9,26.0,1.4368554614289262,"[2.94720733e-01 9.59016435e-03 1.07498619e-01 2.22188452e-01
 9.69517390e-02 4.79912464e-43 2.92027735e-34 2.33427319e-26
 3.01694085e-10 2.94583144e-05 5.44442841e-03 2.63576406e-01]"
O2,-13.9,30.0,1.4751411247506223,"[2.85998014e-01 9.44880904e-03 1.05489345e-01 2.19060943e-01
 1.24191551e-01 6.02128582e-52 7.48711941e-42 2.40773086e-32
 1.62929999e-12 2.78069326e-06 1.94677029e-03 2.53861787e-01]"
O2,-13.9,35.0,1.5150813456121057,"[2.77245104e-01 9.40241285e-03 1.01465013e-01 2.16307170e-01
 1.48127715e-01 3.79307996e-61 3.84828640e-50 4.53846802e-39
 3.69004131e-15 1.73133561e-07 5.83779399e-04 2.46868632e-01]"
O2,-13.9,41.0,1.5545918885784975,"[2.68940570e-01 9.45918698e-03 9.58238101e-02 2.13696993e-01
 1.68330027e-01 8.13738948e-68 1.62110271e-57 1.97183189e-45
 6.90886445e-18 9.47198309e-09 1.63729921e-04 2.43585673e-01]"
O2,-13.9,48.0,1.59152861561231,"[2.61432044e-01 9.64137591e-03 8.86939653e-02 2.11287697e-01
 1.85138302e-01 3.16374244e-70 2.73598873e-62 2.46773915e-50
 1.99121013e-20 5.83523194e-10 4.76519672e-05 2.43758964e-01]"
O2,-13.9,56.0,1.6249988260614683,"[2.54944772e-01 9.95252219e-03 8.06939000e-02 2.09064622e-01
 1.98916413e-01 8.39260124e-65 3.75314226e-62 3.53505699e-52
 3.53276394e-22 5.65919535e-11 1.69430302e-05 2.46410828e-01]"
O2,-13.9,60.0,1.6387982990198129,"[2.52447526e-01 1.01115554e-02 7.66453735e-02 2.08159538e-01
 2.04424497e-01 5.73476750e-58 6.22907694e-60 1.14441445e-51
 8.59545679e-23 2.40247159e-11 1.10690617e-05 2.48200440e-01]"
O2,-13.9,66.0,1.6564694104683777,"[2.49352509e-01 1.04227123e-02 7.07202226e-02 2.07017165e-01
 2.11343183e-01 3.77585880e-45 1.70044500e-53 3.07872069e-49
 2.51106147e-23 8.64570164e-12 6.76079284e-06 2.51137447e-01]"
O2,-13.9,77.0,1.6812183131097802,"[2.45411085e-01 1.10665692e-02 6.03785477e-02 2.05408511e-01
 2.21060281e-01 5.88074864e-11 8.30450466e-35 9.15044165e-40
 3.66085222e-23 5.71463957e-12 4.04087632e-06 2.56670965e-01]"
O2,-13.9,90.0,1.6459629863659244,"[1.79081794e-01 5.81160907e-03 1.20076472e-01 1.81441409e-01
 2.27088629e-01 3.28440745e-02 8.38780064e-28 2.64479951e-35
 1.54893988e-22 7.17676630e-12 4.01876141e-06 2.53651994e-01]"
O2,-13.9,105.0,1.672284307016959,"[1.80110876e-01 6.04303326e-03 1.07068979e-01 1.80105514e-01
 2.19488660e-01 6.60246512e-02 3.02089413e-31 1.27397409e-41
 5.13056066e-28 9.19590349e-15 2.65164068e-07 2.41158022e-01]"
O2,-13.9,123.0,1.6990268345890407,"[1.81944740e-01 6.38679000e-03 9.24638787e-02 1.78434884e-01
 2.13197222e-01 9.37629139e-02 6.58938217e-34 3.70979493e-47
 8.77737088e-34 4.76731630e-18 6.32309567e-09 2.33809564e-01]"
O2,-13.9,124.0,1.7003763160084056,"[1.82072667e-01 6.40305632e-03 9.16762888e-02 1.78347465e-01
 2.12903755e-01 9.50395096e-02 5.80033720e-34 2.22621204e-47
 4.50023514e-34 3.19474418e-18 5.19428749e-09 2.33557254e-01]"
O2,-13.9,143.0,1.7231037155015676,"[1.84604510e-01 6.74331479e-03 7.71932015e-02 1.76851085e-01
 2.08148586e-01 1.15614775e-01 4.94523732e-33 3.69179623e-49
 1.96867742e-38 6.51776260e-21 2.53200916e-10 2.30844528e-01]"
O2,-13.9,167.0,1.7474630450645792,"[1.89171249e-01 7.34712531e-03 5.93357375e-02 1.75835115e-01
 2.03310755e-01 1.34330565e-01 3.63246422e-27 1.66623098e-44
 7.44530431e-42 1.48092927e-23 1.03961338e-11 2.30669453e-01]"
O2,-13.9,195.0,1.767921801531703,"[2.16944402e-001 1.00693583e-002 1.18336698e-201 1.91983416e-001
 1.97684910e-001 1.50380344e-001 7.05760961e-015 2.19276904e-034
 1.50368491e-045 3.92139354e-027 1.11388787e-013 2.32937571e-001]"
O2,-13.9,228.0,1.7901370149400873,"[2.13081500e-001 1.01209350e-002 2.24403328e-198 1.83855337e-001
 1.95224989e-001 1.51162570e-001 1.59453168e-002 1.52241015e-020
 1.84393249e-045 2.59815121e-029 4.23035140e-015 2.30609352e-001]"
O2,-13.9,260.0,1.8067528440657912,"[2.10145762e-001 1.02149506e-002 4.15931074e-195 1.76605408e-001
 1.94381989e-001 1.41521438e-001 4.11398232e-002 1.67913781e-017
 5.81541504e-049 6.54468379e-033 4.01136306e-017 2.25990629e-001]"
O2,-13.9,266.0,1.8094582035199853,"[2.09677931e-001 1.02278394e-002 1.51905095e-194 1.75326281e-001
 1.94181330e-001 1.39993947e-001 4.51443874e-002 9.50981995e-017
 2.02216850e-049 1.66204269e-033 1.80416275e-017 2.25448284e-001]"
O2,-13.9,311.0,1.8263259864868202,"[2.06689004e-001 1.04312166e-002 5.95485170e-191 1.66359951e-001
 1.92486327e-001 1.30581110e-001 6.99723086e-002 1.40733772e-009
 1.14596453e-050 4.84199588e-037 9.63593155e-020 2.23480081e-001]"
O2,-13.9,363.0,1.8398733928201267,"[2.04271520e-001 1.06993321e-002 4.74047430e-185 1.57197242e-001
 1.89740914e-001 1.28759322e-001 7.10278851e-002 1.80033505e-002
 1.63887680e-050 2.68303616e-040 1.60324270e-022 2.20300435e-001]"
O2,-13.9,424.0,1.7654783651353365,"[2.19410305e-01 3.44814214e-02 3.58877888e-02 1.48797083e-16
 2.33751073e-01 1.35267139e-01 5.48118617e-02 5.84332837e-02
 3.82272863e-91 1.97380356e-76 6.91455396e-42 2.27957127e-01]"
O2,-13.9,495.0,1.788806777525905,"[2.16937970e-01 3.40963554e-02 3.32363779e-02 1.50942917e-11
 2.27721664e-01 1.40578306e-01 2.99277726e-02 9.43267658e-02
 1.83743777e-93 1.04172924e-84 4.34646437e-48 2.23174788e-01]"
O2,-13.9,578.0,1.8089793355651627,"[2.15248507e-01 3.39810138e-02 3.00220414e-02 4.08167894e-07
 2.21822779e-01 1.43952454e-01 1.19058492e-02 1.21596228e-01
 1.35586813e-86 2.08730398e-85 4.11125964e-52 2.21470719e-01]"
O2,-13.9,675.0,1.8254528743569505,"[2.14792858e-01 3.45732434e-02 2.44113077e-02 1.29004120e-03
 2.15870131e-01 1.45144190e-01 2.39083726e-04 1.41573983e-01
 8.06114499e-68 7.01468849e-82 1.48942547e-51 2.22105162e-01]"
O2,-13.9,789.0,1.8385245117466842,"[2.18619078e-01 3.55280686e-02 1.03718928e-02 7.98529485e-03
 2.09062665e-01 1.42108232e-01 5.25674961e-11 1.51350748e-01
 4.67477528e-35 9.37009701e-73 4.94111787e-52 2.24974021e-01]"
O2,-13.9,921.0,1.8465034440649337,"[2.21320867e-01 3.62582273e-02 1.72950671e-04 1.28187771e-02
 2.02596386e-01 1.39462201e-01 3.31498141e-14 1.56724437e-01
 6.46934441e-03 2.06117985e-63 6.56435212e-52 2.24176810e-01]"
O2,-13.9,1075.0,1.8510740057470103,"[2.20817044e-01 3.54810868e-02 4.54602093e-08 1.17949409e-02
 1.96979151e-01 1.37820283e-01 2.08043648e-08 1.54951632e-01
 2.75676417e-02 4.06180826e-72 2.77013292e-60 2.14588155e-01]"
O2,-13.9,1220.0,1.8523980320593076,"[2.20791379e-01 3.46693891e-02 1.93320612e-11 1.09887431e-02
 1.92227401e-01 1.35973221e-01 1.22366684e-04 1.53889701e-01
 4.22192147e-02 6.54034268e-79 4.51311320e-67 2.09118585e-01]"
O2,-13.9,1256.0,1.852387277865426,"[2.20820870e-01 3.44928362e-02 3.07431033e-12 1.07974055e-02
 1.91133283e-01 1.35396903e-01 4.22204986e-04 1.53477338e-01
 4.53549623e-02 2.12659670e-80 1.37512771e-68 2.08104196e-01]"
O2,-13.9,1467.0,1.8503814704615158,"[2.21176050e-01 3.34946314e-02 8.03965146e-17 1.00462573e-02
 1.85244480e-01 1.31039051e-01 4.36871821e-03 1.49774632e-01
 6.08720998e-02 1.50496992e-87 2.98129532e-76 2.03984081e-01]"
O2,-13.9,1713.0,1.7592020630928826,"[2.00936876e-01 1.61826228e-02 1.27833009e-87 1.27336970e-01
 2.46964221e-40 2.15596317e-01 1.85801267e-48 1.44284580e-01
 8.27826129e-02 2.69558685e-74 2.22238786e-65 2.12880021e-01]"
O2,-13.9,1740.0,1.7597894514441652,"[2.00896648e-01 1.61938992e-02 1.41116000e-87 1.27116345e-01
 8.76180344e-40 2.15227868e-01 1.68815393e-48 1.44028159e-01
 8.39646607e-02 7.91855648e-75 5.81930307e-66 2.12572420e-01]"
O2,-13.9,2000.0,1.7632753445247786,"[2.00899586e-01 1.63409180e-02 4.65667295e-87 1.24946545e-01
 4.04513794e-36 2.11757115e-01 2.22296123e-48 1.41962555e-01
 9.31323647e-02 3.35244500e-78 1.74909731e-70 2.10960917e-01]"
O3,-9.7,0.0,0.0,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]"
O3,-9.7,1.0,3.892975244175512e-05,"[0.08334092 0.08334081 0.08333208 0.08333109 0.08333162 0.08333184
 0.08333189 0.08333192 0.08333195 0.08333196 0.08333196 0.08333196]"
O3,-9.7,2.0,0.00024796725249292314,"[0.19061685 0.18708421 0.05052933 0.04956198 0.06048486 0.0643991
 0.06538981 0.06580171 0.06638731 0.06652686 0.06658424 0.06663375]"
O3,-9.7,3.0,0.0005894793308853449,"[0.22353522 0.21743775 0.03360042 0.03630566 0.05321995 0.05964224
 0.06130575 0.06200543 0.06298659 0.06321914 0.06332991 0.06341194]"
O3,-9.7,4.0,0.0010657554651454547,"[0.23743144 0.22954089 0.02439751 0.029007   0.04956094 0.05791502
 0.06013468 0.06107175 0.06240069 0.06270932 0.0628653  0.06296546]"
O3,-9.7,5.0,0.0016780938318778674,"[0.2448817  0.23547825 0.01864721 0.02416838 0.04712123 0.05709602
 0.05979773 0.06091778 0.06255751 0.06295113 0.06313005 0.063253  ]"
O3,-9.7,6.0,0.002425994440238426,"[0.24949485 0.23890244 0.01468397 0.02058769 0.04521299 0.05658609
 0.05971655 0.06104397 0.06296211 0.06341889 0.06362131 0.06376914]"
O3,-9.7,8.0,0.0044140698528866585,"[0.26533855 0.24077198 0.00072934 0.00287073 0.02782392 0.05201842
 0.06043535 0.06423998 0.06990678 0.07138725 0.07201783 0.07245986]"
