operator,binding_energy,repressor,inducer_uM,num_mom,lambda_m0p1,lambda_m0p2,lambda_m0p3,lambda_m0p4,lambda_m0p5,lambda_m0p6
O1,-15.3,260.0,5000.0,2,0.0029946217169820656,-2.7784370293744354e-07,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,0.0,2,-0.24400825097571063,-3.1384224938196637e-06,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,0.1,2,-0.24303493880882285,-3.1258995813158553e-06,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,5.0,2,-0.12347762373825459,-1.588439712406085e-06,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,10.0,2,-0.05646324010470355,-7.271368546708202e-07,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,25.0,2,-0.014299077394686296,-1.8520051191321551e-07,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,50.0,2,-0.005098599919789366,-6.681144270187216e-08,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,75.0,2,-0.0029886706544429245,-3.966471783555551e-08,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,100.0,2,0.011159559857658619,-1.2346806905720916e-05,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,250.0,2,0.007602398524645233,-3.846041167435992e-06,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,500.0,2,0.005693730786101799,-2.1048292194289273e-06,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,1000.0,2,0.005051555633919271,-1.5306150762886016e-06,0.0,0.0,0.0,0.0
O1,-15.3,1740.0,5000.0,2,0.004670340460382671,-1.1977271744338199e-06,0.0,0.0,0.0,0.0
O2,-13.9,0.0,0.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,0.1,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,5.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,10.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,25.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,50.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,75.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,100.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,250.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,500.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,1000.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,0.0,5000.0,2,0.003039564881381626,-1.9550909380747008e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,0.0,2,0.01016440463940522,-5.113612540213671e-06,0.0,0.0,0.0,0.0
O2,-13.9,22.0,0.1,2,0.01016482114637579,-5.093961862903873e-06,0.0,0.0,0.0,0.0
O2,-13.9,22.0,5.0,2,0.007633293890591236,-2.0574603620932365e-06,0.0,0.0,0.0,0.0
O2,-13.9,22.0,10.0,2,0.005250831524930927,-8.145535896619907e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,25.0,2,0.0035472072407134354,-3.085574399706975e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,50.0,2,0.0032214505336238624,-2.3220974392717082e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,75.0,2,0.003165832844547354,-2.1784629496782152e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,100.0,2,0.0031284190581805315,-2.11144344286531e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,250.0,2,0.0030769913116089503,-2.020983909812454e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,500.0,2,0.0030647494457269053,-1.9994740184970654e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,1000.0,2,0.0030595817472176975,-1.9903627789105424e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,5000.0,2,0.0030558557902979934,-1.9837995949603395e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,0.0,2,0.01016440463940522,-5.113612540213671e-06,0.0,0.0,0.0,0.0
O2,-13.9,22.0,0.1,2,0.01016482114637579,-5.093961862903873e-06,0.0,0.0,0.0,0.0
O2,-13.9,22.0,5.0,2,0.007633293890591236,-2.0574603620932365e-06,0.0,0.0,0.0,0.0
O2,-13.9,22.0,10.0,2,0.005250831524930927,-8.145535896619907e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,25.0,2,0.0035472072407134354,-3.085574399706975e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,50.0,2,0.0032214505336238624,-2.3220974392717082e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,75.0,2,0.003165832844547354,-2.1784629496782152e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,100.0,2,0.0031284190581805315,-2.11144344286531e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,250.0,2,0.0030769913116089503,-2.020983909812454e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,500.0,2,0.0030647494457269053,-1.9994740184970654e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,1000.0,2,0.0030595817472176975,-1.9903627789105424e-07,0.0,0.0,0.0,0.0
O2,-13.9,22.0,5000.0,2,0.0030558557902979934,-1.9837995949603395e-07,0.0,0.0,0.0,0.0
O2,-13.9,260.0,0.0,2,-0.01021722469339213,-1.3273096165624022e-07,0.0,0.0,0.0,0.0
O2,-13.9,260.0,0.1,2,-0.010171934643154404,-1.3214824305404958e-07,0.0,0.0,0.0,0.0
O2,-13.9,260.0,5.0,2,-0.004916968851840922,-6.453432561436233e-08,0.0,0.0,0.0,0.0
O2,-13.9,260.0,10.0,2,0.015524944721940824,-1.7690667353843287e-05,0.0,0.0,0.0,0.0
O2,-13.9,260.0,25.0,2,0.00865719237426175,-2.8442483560613687e-06,0.0,0.0,0.0,0.0
O2,-13.9,260.0,50.0,2,0.005300215486057636,-8.334445341392188e-07,0.0,0.0,0.0,0.0
O2,-13.9,260.0,75.0,2,0.004352195514539436,-5.144159166893751e-07,0.0,0.0,0.0,0.0
O2,-13.9,260.0,100.0,2,0.00395072993052834,-4.0483250374383334e-07,0.0,0.0,0.0,0.0
O2,-13.9,260.0,250.0,2,0.0033862903246815335,-2.7380640952310223e-07,0.0,0.0,0.0,0.0
O2,-13.9,260.0,500.0,2,0.003308177016749431,-2.4873101056250493e-07,0.0,0.0,0.0,0.0
O2,-13.9,260.0,1000.0,2,0.0032460426205955673,-2.3683086857257319e-07,0.0,0.0,0.0,0.0
O2,-13.9,260.0,5000.0,2,0.0032010914877108362,-2.2843721745922184e-07,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,0.0,2,-0.06599013586223836,-8.496592281842824e-07,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,0.1,2,-0.06570345204224867,-8.459740594129589e-07,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,5.0,2,-0.03196058176031961,-4.1233185316453645e-07,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,10.0,2,-0.01428948452702223,-1.851372346861888e-07,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,25.0,2,-0.0036124295205642986,-4.7749049904644024e-08,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,50.0,2,0.012894370057731771,-8.833307136784465e-06,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,75.0,2,0.01006684196788961,-4.258837871876849e-06,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,100.0,2,0.008478649488338931,-2.6939134868439173e-06,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,250.0,2,0.005663143094844639,-9.800147970097522e-07,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,500.0,2,0.00484240387801508,-6.68296303456166e-07,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,1000.0,2,0.004472712255977829,-5.501832363521265e-07,0.0,0.0,0.0,0.0
O2,-13.9,1740.0,5000.0,2,0.004201162705845305,-4.7148276736449195e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,0.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,0.1,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,5.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,10.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,25.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,50.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,75.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,100.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,250.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,500.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,1000.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,0.0,5000.0,2,0.003039287551507586,-1.9549192972918543e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,0.0,2,0.003275745883713796,-2.3169640218861106e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,0.1,2,0.0032745585110128257,-2.3151802059915062e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,5.0,2,0.003170331355754108,-2.135869807348501e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,10.0,2,0.0030969639782598957,-2.03373429517634e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,25.0,2,0.0030537874932212517,-1.9743872605767263e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,50.0,2,0.0030442409294274713,-1.9616617193753638e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,75.0,2,0.00304222291071445,-1.9588606309261223e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,100.0,2,0.003041433344058345,-1.9577473155648394e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,250.0,2,0.0030402637034318636,-1.9561657784338996e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,500.0,2,0.003039994932042394,-1.9557916992354079e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,1000.0,2,0.003039868061085018,-1.9556242089039537e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,5000.0,2,0.00303971100538369,-1.9554630136938514e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,0.0,2,0.003275745883713796,-2.3169640218861106e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,0.1,2,0.0032745585110128257,-2.3151802059915062e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,5.0,2,0.003170331355754108,-2.135869807348501e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,10.0,2,0.0030969639782598957,-2.03373429517634e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,25.0,2,0.0030537874932212517,-1.9743872605767263e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,50.0,2,0.0030442409294274713,-1.9616617193753638e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,75.0,2,0.00304222291071445,-1.9588606309261223e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,100.0,2,0.003041433344058345,-1.9577473155648394e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,250.0,2,0.0030402637034318636,-1.9561657784338996e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,500.0,2,0.003039994932042394,-1.9557916992354079e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,1000.0,2,0.003039868061085018,-1.9556242089039537e-07,0.0,0.0,0.0,0.0
O3,-9.7,22.0,5000.0,2,0.00303971100538369,-1.9554630136938514e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,0.0,2,0.005679954067057696,-8.010335850023145e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,0.1,2,0.005669264320410945,-7.975796667600502e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,5.0,2,0.0043418398983685385,-4.383775589904595e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,10.0,2,0.003594505534124286,-2.9005376102826715e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,25.0,2,0.0032078070632562718,-2.189292961746583e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,50.0,2,0.003098436232295737,-2.035675164534987e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,75.0,2,0.0030735659870487794,-2.0014640933247157e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,100.0,2,0.003063509813648076,-1.9877450393757908e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,250.0,2,0.003049526024980393,-1.9688709711376416e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,500.0,2,0.003046418874469825,-1.9644805420725027e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,1000.0,2,0.0030449092650237913,-1.962491297927763e-07,0.0,0.0,0.0,0.0
O3,-9.7,260.0,5000.0,2,0.003043890993231692,-1.9611038769622334e-07,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,0.0,2,0.013741955077179341,-7.913929512855839e-06,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,0.1,2,0.01371708297796865,-7.868054860628206e-06,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,5.0,2,0.009816230888076444,-3.0197663237169827e-06,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,10.0,2,0.0066035865928623875,-1.13551333216074e-06,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,25.0,2,0.0039858960376759085,-3.632687592593128e-07,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,50.0,2,0.003392225207382104,-2.49473900441845e-07,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,75.0,2,0.0032680749634586997,-2.2763662855882789e-07,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,100.0,2,0.003200823837789279,-2.1793809219253887e-07,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,250.0,2,0.003108414683604887,-2.0495491928482194e-07,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,500.0,2,0.0030859569499932875,-2.018653879036189e-07,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,1000.0,2,0.003076729128405321,-2.005715837120261e-07,0.0,0.0,0.0,0.0
O3,-9.7,1740.0,5000.0,2,0.003069610401060179,-1.9961744457350153e-07,0.0,0.0,0.0,0.0
O1,-15.3,0.0,0.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,0.1,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,5.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,10.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,25.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,50.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,75.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,100.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,250.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,500.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,1000.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,0.0,5000.0,3,0.002790501515756396,-1.6927436047714813e-07,-9.228645528458246e-13,0.0,0.0,0.0
O1,-15.3,22.0,0.0,3,-0.0035630617268288577,-6.189471007790025e-08,3.0830192652514223e-13,0.0,0.0,0.0
O1,-15.3,22.0,0.1,3,-0.0035474218138598895,-6.162912144036661e-08,3.0694319600366583e-13,0.0,0.0,0.0
O1,-15.3,22.0,5.0,3,0.01026811808144518,-9.259418784540206e-06,-2.5221994401237823e-11,0.0,0.0,0.0
O1,-15.3,22.0,10.0,3,0.00687189749766491,-2.9539210318823224e-06,-1.0062552046777802e-11,0.0,0.0,0.0
O1,-15.3,22.0,25.0,3,0.0035690566119338236,-5.387187245704529e-07,-2.9391279387732376e-12,0.0,0.0,0.0
O1,-15.3,22.0,50.0,3,0.00283689044446806,-2.6043922752490046e-07,-1.5953322470855799e-12,0.0,0.0,0.0
O1,-15.3,22.0,75.0,3,0.0027370128592537277,-2.147448664516423e-07,-1.308800082346487e-12,0.0,0.0,0.0
O1,-15.3,22.0,100.0,3,0.0027183054548357683,-1.9887009524464554e-07,-1.1934456921161633e-12,0.0,0.0,0.0
O1,-15.3,22.0,250.0,3,0.002731703521815206,-1.8022515392854442e-07,-1.035062563882741e-12,0.0,0.0,0.0
O1,-15.3,22.0,500.0,3,0.002744791553715054,-1.7635607509531035e-07,-9.977647789464065e-13,0.0,0.0,0.0
O1,-15.3,22.0,1000.0,3,0.002751863551986036,-1.747736528411931e-07,-9.829280756933967e-13,0.0,0.0,0.0
O1,-15.3,22.0,5000.0,3,0.0027577478484934618,-1.7369498981841142e-07,-9.713238887221016e-13,0.0,0.0,0.0
O1,-15.3,22.0,0.0,3,-0.0035630617268288577,-6.189471007790025e-08,3.0830192652514223e-13,0.0,0.0,0.0
O1,-15.3,22.0,0.1,3,-0.0035474218138598895,-6.162912144036661e-08,3.0694319600366583e-13,0.0,0.0,0.0
O1,-15.3,22.0,5.0,3,0.01026811808144518,-9.259418784540206e-06,-2.5221994401237823e-11,0.0,0.0,0.0
O1,-15.3,22.0,10.0,3,0.00687189749766491,-2.9539210318823224e-06,-1.0062552046777802e-11,0.0,0.0,0.0
O1,-15.3,22.0,25.0,3,0.0035690566119338236,-5.387187245704529e-07,-2.9391279387732376e-12,0.0,0.0,0.0
O1,-15.3,22.0,50.0,3,0.00283689044446806,-2.6043922752490046e-07,-1.5953322470855799e-12,0.0,0.0,0.0
O1,-15.3,22.0,75.0,3,0.0027370128592537277,-2.147448664516423e-07,-1.308800082346487e-12,0.0,0.0,0.0
O1,-15.3,22.0,100.0,3,0.0027183054548357683,-1.9887009524464554e-07,-1.1934456921161633e-12,0.0,0.0,0.0
O1,-15.3,22.0,250.0,3,0.002731703521815206,-1.8022515392854442e-07,-1.035062563882741e-12,0.0,0.0,0.0
O1,-15.3,22.0,500.0,3,0.002744791553715054,-1.7635607509531035e-07,-9.977647789464065e-13,0.0,0.0,0.0
O1,-15.3,22.0,1000.0,3,0.002751863551986036,-1.747736528411931e-07,-9.829280756933967e-13,0.0,0.0,0.0
O1,-15.3,22.0,5000.0,3,0.0027577478484934618,-1.7369498981841142e-07,-9.713238887221016e-13,0.0,0.0,0.0
O1,-15.3,260.0,0.0,3,-0.04051872589219137,-6.892607181033063e-07,3.5069674554223116e-12,0.0,0.0,0.0
O1,-15.3,260.0,0.1,3,-0.04034056799268981,-6.862381551979443e-07,3.491582480190954e-12,0.0,0.0,0.0
O1,-15.3,260.0,5.0,3,-0.01950673673592489,-3.326585552484222e-07,1.6903660409849003e-12,0.0,0.0,0.0
O1,-15.3,260.0,10.0,3,-0.008703771462302761,-1.4920579340097972e-07,7.543645913129616e-13,0.0,0.0,0.0
O1,-15.3,260.0,25.0,3,0.011290709407628396,-1.2985223123738957e-05,-3.344903586381119e-11,0.0,0.0,0.0
O1,-15.3,260.0,50.0,3,0.006957125355824417,-3.0509840232205274e-06,-1.0308745338985952e-11,0.0,0.0,0.0
O1,-15.3,260.0,75.0,3,0.005217531391496243,-1.4543887937943042e-06,-5.951757485025702e-12,0.0,0.0,0.0
O1,-15.3,260.0,100.0,3,0.004410757259502013,-9.457560166888237e-07,-4.379125307377937e-12,0.0,0.0,0.0
O1,-15.3,260.0,250.0,3,0.0032388411068971818,-4.0771677104617424e-07,-2.3448315843728473e-12,0.0,0.0,0.0
O1,-15.3,260.0,500.0,3,0.0029709774005871824,-3.104821265560476e-07,-1.879489275538772e-12,0.0,0.0,0.0
O1,-15.3,260.0,1000.0,3,0.0028715587230717736,-2.739174918902756e-07,-1.6766827903596509e-12,0.0,0.0,0.0
O1,-15.3,260.0,5000.0,3,0.0028105515884259274,-2.4971985776213505e-07,-1.532485662070358e-12,0.0,0.0,0.0
O1,-15.3,1740.0,0.0,3,-0.24396192838749392,-4.143082506684124e-06,2.10933773024167e-11,0.0,0.0,0.0
O1,-15.3,1740.0,0.1,3,-0.24298873450437147,-4.126551972245685e-06,2.1009190601777697e-11,0.0,0.0,0.0
O1,-15.3,1740.0,5.0,3,-0.12344687759610043,-2.0967579922502204e-06,1.0674017728918735e-11,0.0,0.0,0.0
O1,-15.3,1740.0,10.0,3,-0.05644203177368366,-9.594765925917947e-07,4.882947736519676e-12,0.0,0.0,0.0
O1,-15.3,1740.0,25.0,3,-0.014284325777382355,-2.439749067692574e-07,1.2379610747846355e-12,0.0,0.0,0.0
O1,-15.3,1740.0,50.0,3,-0.005085573083206887,-8.77518608966368e-08,4.40497717508108e-13,0.0,0.0,0.0
O1,-15.3,1740.0,75.0,3,-0.0029762901882350056,-5.1931467287586675e-08,2.5731285934220325e-13,0.0,0.0,0.0
O1,-15.3,1740.0,100.0,3,0.011132653854080842,-1.2292527966653639e-05,-3.204073525206205e-11,0.0,0.0,0.0
O1,-15.3,1740.0,250.0,3,0.007561739972074908,-3.8066808462056584e-06,-1.2186698102518569e-11,0.0,0.0,0.0
